group	ret	mz	EC_022024	adduct	neutralMass
M416_R573_1441	573.447	416.220358602678	1748	[M-H]-	416.220358602678
M416_R852_1442	852.154	416.264702100565	3980	[M-H]-	416.264702100565
M416_R850_1444	849.689	416.310904354313	651	[M-H]-	416.310904354313
M416_R641_1445	641.291	416.307857843752	4540	[M-H]-	416.307857843752
M417_R892_1446	891.694	416.762735387474	438.5	[M-H]-	416.762735387474
M417_R447_1447	447.13	417.026805185082	989.5	[M-H]-	417.026805185082
M417_R717_1449	717.4635	417.244857840125	994.5	[M-H]-	417.244857840125
M417_R573_1450	573.447	417.222996016166	648	[M-H]-	417.222996016166
M417_R850_1451	849.689	417.313963074479	586	[M-H]-	417.313963074479
M417_R705_1452	705.09	417.284530794656	4369	[M-H]-	417.284530794656
M417_R639_1453	639.245	417.290094426661	2122.5	[M-H]-	417.290094426661
M418_R185_1454	184.789	417.671612043394	404	[M-H]-	417.671612043394
M418_R890_1455	890.452	417.746515181524	1281	[M-H]-	417.746515181524
M418_R342_1457	342.444	417.985202219522	1830	[M-H]-	417.985202219522
M418_R755_1459	754.873	418.245481795873	1551	[M-H]-	418.245481795873
M418_R611_1460	611.3125	418.228051917464	3386.5	[M-H]-	418.228051917464
M418_R330_1461	329.708	418.161074871667	1185	[M-H]-	418.161074871667
M418_R875_1462	874.9705	418.328816353603	46802	[M-H]-	418.328816353603
M418_R209_1463	208.815	418.193990298485	685	[M-H]-	418.193990298485
M418_R750_1464	749.951	418.304417238399	1910	[M-H]-	418.304417238399
M418_R639_1465	639.245	418.288809073344	633	[M-H]-	418.288809073344
M419_R892_1466	891.694	418.754401324105	1958	[M-H]-	418.754401324105
M419_R788_1469	788.111	419.2610785126	781	[M-H]-	419.2610785126
M419_R600_1470	599.733	419.216369718796	666	[M-H]-	419.216369718796
M419_R879_1473	879.3115	419.324471882468	58827.5	[M-H]-	419.324471882468
M419_R702_1475	702.485	419.299968615998	9850	[M-H]-	419.299968615998
M419_R793_1476	793.04	419.336001083581	1262.5	[M-H]-	419.336001083581
M420_R882_1477	882.4085	419.753123350462	3410	[M-H]-	419.753123350462
M420_R185_1478	184.789	419.669074023517	458	[M-H]-	419.669074023517
M420_R134_1479	133.77	419.978933280891	734.5	[M-H]-	419.978933280891
M420_R231_1480	231.339	419.979164199538	1131.5	[M-H]-	419.979164199538
M420_R468_1482	468.212	419.978881427631	1435	[M-H]-	419.978881427631
M420_R602_1483	602.458	420.21873999271	385	[M-H]-	420.21873999271
M420_R792_1485	791.807	420.288567679916	462.5	[M-H]-	420.288567679916
M420_R225_1486	225.33	420.235665779322	1637	[M-H]-	420.235665779322
M420_R709_1487	708.999	420.321012394178	791	[M-H]-	420.321012394178
M421_R891_1488	891.072	420.761719511714	202	[M-H]-	420.761719511714
M421_R214_1491	214.0695	421.130205515502	320	[M-H]-	421.130205515502
M421_R608_1492	607.906	421.252685756452	286	[M-H]-	421.252685756452
M421_R816_1493	815.6795	421.272061020747	17689.5	[M-H]-	421.272061020747
M422_R892_1497	891.694	421.776787142761	546	[M-H]-	421.776787142761
M422_R185_1498	184.789	421.666080394557	263	[M-H]-	421.666080394557
M422_R342_1501	342.444	421.998708882526	1674.5	[M-H]-	421.998708882526
M422_R206_1502	205.811	422.155735709939	520.5	[M-H]-	422.155735709939
M422_R852_1503	851.788	422.252203001612	2547	[M-H]-	422.252203001612
M422_R617_1505	617.4445	422.203937198916	2322	[M-H]-	422.203937198916
M422_R207_1506	207.313	422.181271220713	2318	[M-H]-	422.181271220713
M422_R582_1507	582.024	422.300023609829	534	[M-H]-	422.300023609829
M423_R889_1508	889.209	422.765454776129	326.5	[M-H]-	422.765454776129
M423_R632_1510	632.4295	423.249341752343	457	[M-H]-	423.249341752343
M423_R856_1511	855.855	423.365995591787	944	[M-H]-	423.365995591787
M424_R892_1512	891.694	423.77317531009	732	[M-H]-	423.77317531009
M424_R468_1513	468.212	423.991077979784	135.5	[M-H]-	423.991077979784
M424_R690_1515	690.109	424.243622213299	31587	[M-H]-	424.243622213299
M424_R204_1517	204.31	424.188696968958	4853.5	[M-H]-	424.188696968958
M424_R617_1519	616.761	424.19370396583	164	[M-H]-	424.19370396583
M425_R186_1521	186.29	425.106597783603	505.5	[M-H]-	425.106597783603
M425_R600_1522	599.733	425.157209078338	211	[M-H]-	425.157209078338
M425_R704_1523	703.788	425.249781526114	950	[M-H]-	425.249781526114
M425_R721_1526	720.719	425.288181579583	392	[M-H]-	425.288181579583
M426_R889_1527	889.209	425.762156188021	304	[M-H]-	425.762156188021
M426_R267_1528	267.375	425.975565484119	524	[M-H]-	425.975565484119
M426_R738_1529	737.648	426.240513907674	14999	[M-H]-	426.240513907674
M426_R320_1530	319.803	426.23196340446	705	[M-H]-	426.23196340446
M426_R607_1531	606.545	426.206129757331	510	[M-H]-	426.206129757331
M426_R206_1533	205.811	426.221960566745	1159	[M-H]-	426.221960566745
M427_R892_1534	891.694	426.769874812713	1410	[M-H]-	426.769874812713
M427_R160_1535	160.057	427.047208043343	364	[M-H]-	427.047208043343
M427_R730_1536	729.833	427.243044740742	4653.5	[M-H]-	427.243044740742
M427_R639_1537	639.245	427.272713570904	5609	[M-H]-	427.272713570904
M427_R892_1538	891.694	427.271766208246	652.5	[M-H]-	427.271766208246
M427_R205_1539	205.0185	427.200022248341	602	[M-H]-	427.200022248341
M427_R783_1540	783.183	427.305090267015	28937	[M-H]-	427.305090267015
M427_R722_1541	722.021	427.304406469895	807	[M-H]-	427.304406469895
M427_R879_1542	879.287	427.362352318666	6579	[M-H]-	427.362352318666
M428_R887_1543	886.723	427.759433721017	350.5	[M-H]-	427.759433721017
M428_R170_1544	169.791	427.821295137453	118	[M-H]-	427.821295137453
M428_R324_1546	324.047	427.973456130033	6882	[M-H]-	427.973456130033
M428_R662_1548	661.655	428.231429770597	1083	[M-H]-	428.231429770597
M428_R550_1549	549.767	428.253522616814	1133	[M-H]-	428.253522616814
M428_R783_1550	783.183	428.256474951274	14918	[M-H]-	428.256474951274
M428_R396_1551	396.211	428.267675470814	225	[M-H]-	428.267675470814
M428_R884_1552	883.626	428.346098064361	2078	[M-H]-	428.346098064361
M428_R227_1553	226.833	428.285100812422	995	[M-H]-	428.285100812422
M429_R889_1554	889.209	428.763194608787	366.5	[M-H]-	428.763194608787
M429_R324_1555	324.047	428.974817378667	754	[M-H]-	428.974817378667
M429_R225_1556	225.33	429.216744371276	887	[M-H]-	429.216744371276
M429_R548_1558	548.463	429.256245191704	293	[M-H]-	429.256245191704
M429_R617_1559	617.443	429.251159765026	372	[M-H]-	429.251159765026
M429_R783_1560	783.183	429.258702625727	4715	[M-H]-	429.258702625727
M429_R688_1561	688.154	429.287694620213	12378	[M-H]-	429.287694620213
M429_R796_1562	796.1135	429.309628291143	3062	[M-H]-	429.309628291143
