"int","exp_modulo","LIST_ID","INCHIKEY","FORMULA","SMILES","NumHDonors","NumHAcceptors","TYPE","MD","KMD","modulo","parent","rep_unit","rep_mass","rep_num","residual","residual_charge","residual_mass","MONOISOTOPIC_MASS","HS_num","Homologues","exp_KMD","mz","ret","PREFERRED_NAME","ACRONYM"
1430,20.00524816723,"PFASMASTER_Chemical List -2024-01-11.csv","PJOMFELBFMPOEI-UHFFFAOYSA-N","C6H2F6O2","OC(=O)C#CC(F)(F)C(F)(F)C(F)F",1,1,"Suspect",-0.004102,-0.0099503,20.00867224,"C6H2F6O2","CF2",49.99680644,3,"C3H2O2","neutral",70.0054793,219.995898,8,5,-0.00652600805398151,219.99247392723,210.316,"4,4,5,5,6,6-Hexafluorohex-2-ynoic acid",NA
5235,20.005024619738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,-0.00630244628280252,319.985863259738,243.2975,NA,NA
2663.5,20.004668066119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,-0.00594586988881929,369.982313146119,342.444,NA,NA
1435,20.004429907631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,-0.00570769618838085,419.978881427631,468.212,NA,NA
1684.5,20.003566357351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,-0.00484409074891801,469.974824317351,575.218,NA,NA
4843,22.228831214873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,-0.23025108768627,272.212863414873,390.551,NA,NA
705,22.229073427547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,-0.230493315831666,322.209912067547,569.889,NA,NA
2322,22.229485678916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,-0.230905593533294,422.203937198916,617.4445,NA,NA
1608,26.637065348546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,0.361233201452023,726.592355508546,783.183,NA,NA
7969,26.636749556456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,0.361549013713329,826.585652596456,784.414,NA,NA
2725.5,26.6348090140569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,0.363489680065072,926.577324934057,888.5875,NA,NA
6882,27.999004610033,"PFASMASTER_Chemical List -2024-01-11.csv","KCCPNPRWYDZVOE-UHFFFAOYNA-N","C8H2F14O4","OC(=O)C(F)(F)C(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F",1,3,"Suspect",-0.027047,-0.000289892,27.99850148,"C8H2F14O4","CF2",49.99680644,7,"C1H2O4","neutral",77.99530854,427.972953,11,3,-0.000793054286361894,427.973456130033,324.047,"2,2,3,4,4-Pentafluoro-4-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]butanoic acid",NA
7409.5,27.998094203222,"PFASMASTER_Chemical List -2024-01-11.csv","YTYGAJLZOJPJGH-UHFFFAOYSA-N","C17H7Cl2F9N2O3","FC(C(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C(F)=C1Cl",2,3,"Suspect",-0.030999,-0.002725168,28.0009366,"C17H7Cl2F9N2O3","CF2",49.99680644,4,"C13H7F1N2O3Cl2","neutral",327.9817757,527.969001,11,3,0.000117410677148655,527.966158603222,565.688,"Noviflumuron",NA
