mz,ret,int,mod,kmd,HS_num
699.972474375294,749.8525,20919.5,0.0171842152940371,-0.0171853129406827,1
200.012607537863,201.306,611.5,0.0253817778630037,-0.0253833991311581,2
300.059486629122,525.6185,6159.5,0.0786479891219756,-0.0786530127842866,3
250.096458136794,214.0695,621,0.112425936794011,-0.112433118032186,4
250.154969908149,406.117,1196.5,0.170937708149012,-0.170948626842943,5
200.176217981023,316.973,1191,0.188992221023,-0.189004292953996,6
200.176255797776,403.288,3919,0.189030037776007,-0.189042112122536,6
250.191407966834,562.965,2820,0.207375766833991,-0.20738901301911,8
350.195491140295,390.551,941.5,0.217846060295017,-0.217859975273086,9
450.200998716178,293.327,735,0.229740756177989,-0.229755430933096,10
400.207016334975,204.311,1762,0.232564814974978,-0.232579670117616,10
400.222643114638,293.327,897,0.248191594638001,-0.248207447945504,12
350.228458372345,825.5265,7637.5,0.250813292345015,-0.250829313114252,12
350.240191876981,629.0235,74857,0.262546796980985,-0.262563567231098,14
300.255000421679,588.835,4839,0.27416178167897,-0.274179293839495,15
400.25720822613,720.719,528,0.282756706129987,-0.282774767293745,16
300.264057391283,746.066,6343,0.283218751283016,-0.28323684195999,16
450.257058280259,615.3995,2514,0.285800320259,-0.285818575834412,16
550.27030853342,611.994,784,0.305437693420004,-0.305457203338165,19
450.279834413168,747.49,1949,0.308576453167973,-0.30859616357526,19
500.281305250395,587.472,4621,0.313240850395005,-0.313260858741955,21
500.282902822503,367.913,667,0.314838422502987,-0.314858532895357,21
450.298006202919,399.043,571,0.326748242918995,-0.3267691140544,23
500.297760411683,430.867,346255,0.329696011682984,-0.32971707110795,23
550.301338625533,379.234,610,0.336467785533046,-0.336489277506985,25
550.303146325149,745.029,542,0.338275485148984,-0.33829709259021,25
500.313360305264,682.943,44212,0.345295905263981,-0.345317961136573,27
450.330490313962,681.642,3206.5,0.359232353962,-0.359255300029133,28
450.331307972124,579.303,2270,0.36005001212402,-0.360073010419285,28
750.312923021783,738.879,1889,0.360826421783031,-0.360849469671734,28
